PM2.5,PM10,CO,O3,NH3,AQI,AQI_Category
38.1,118.45443537491555,10.2,16.83,23.84836627716501,225.0,Very Poor
27.22,118.45443537491555,12.02,12.94,23.84836627716501,231.0,Very Poor
41.81,118.45443537491555,10.75,22.44,23.84836627716501,298.0,Very Poor
75.03,118.45443537491555,11.23,41.28,23.84836627716501,267.0,Very Poor
67.47661343703459,118.45443537491555,2.3452669534931365,34.912885247265315,23.84836627716501,236.0,Very Poor
75.06,118.45443537491555,14.78,6.0,23.84836627716501,301.0,Severe
85.36,118.45443537491555,14.48,20.62,23.84836627716501,311.0,Severe
124.97,118.45443537491555,13.2,26.4,23.84836627716501,313.0,Severe
86.63,118.45443537491555,11.74,20.38,23.84836627716501,267.0,Very Poor
70.34,118.45443537491555,11.25,20.13,23.84836627716501,232.0,Very Poor
50.49,118.45443537491555,10.91,22.39,23.84836627716501,229.0,Very Poor
42.25,118.45443537491555,11.07,24.3,23.84836627716501,227.0,Very Poor
48.23,118.45443537491555,11.09,18.52,23.84836627716501,236.0,Very Poor
138.94,118.45443537491555,10.27,37.01,23.84836627716501,326.0,Severe
155.68,118.45443537491555,16.66,33.7,23.84836627716501,395.0,Severe
140.81,118.45443537491555,18.56,31.21,23.84836627716501,423.0,Severe
87.09,118.45443537491555,10.15,29.43,23.84836627716501,315.0,Severe
83.57,118.45443537491555,7.8,30.68,23.84836627716501,213.0,Very Poor
75.41,118.45443537491555,12.23,37.64,23.84836627716501,263.0,Very Poor
106.86,118.45443537491555,9.38,36.65,23.84836627716501,355.0,Severe
96.53,118.45443537491555,9.03,33.14,23.84836627716501,362.0,Severe
76.96,118.45443537491555,6.95,41.7,23.84836627716501,236.0,Very Poor
73.05,118.45443537491555,7.04,40.57,23.84836627716501,192.0,Poor
72.52,118.45443537491555,7.31,32.65,23.84836627716501,230.0,Very Poor
109.22,118.45443537491555,11.05,33.06,23.84836627716501,278.0,Very Poor
122.63,118.45443537491555,18.84,31.59,23.84836627716501,390.0,Severe
381.69,118.45443537491555,29.49,15.74,23.84836627716501,472.0,Severe
182.59,118.45443537491555,26.06,41.0,23.84836627716501,457.0,Severe
230.76,118.45443537491555,12.95,50.18,23.84836627716501,420.0,Severe
203.3,118.45443537491555,11.74,47.43,23.84836627716501,417.0,Severe
